Supercharger,Street Address,City of Industry,State,Zip,Country,Stalls,Kw,GPS,Elev
"Corning, CA",950 Hwy 99,Corning,CA,96021,USA,6,150,"39.926454, -122.198393",87
"Roseville, CA",1151 Galleria Blvd,Roseville,CA,95678,USA,7,150,"38.771208, -121.266149",66
"Oxnard, CA",2751 Park View Ct,Oxnard,CA,93036,USA,20,150,"34.238654, -119.177398",24
"Buellton, CA",555 McMurray Rd,Buellton,CA,93427,USA,10,150,"34.61456, -120.188387",114
"El Centro, CA",3451 S Dogwood Rd,El Centro,CA,92243,USA,12,150,"32.760837, -115.532486",-8
"Indio, CA",42100 Jackson St,Indio,CA,92203,USA,46,250,"33.741484, -116.215019",-3
"Atascadero, CA",6950 El Camino Real,Atascadero,CA,93422,USA,8,125,"35.48656, -120.66633",262
"Richmond - Meeker Ave, CA",2157 Meeker Ave,Richmond,CA,94804,USA,12,150,"37.919969, -122.348976",4
"San Luis Obispo - Higuera St, CA",3897 S Higuera St,San Luis Obispo,CA,93401,USA,20,250,"35.247841, -120.67193",38
"El Centro - Wake Ave, CA",330 Wake Ave,El Centro,CA,92243,USA,8,250,"32.7729, -115.5501",-11
"Truckee - Donner Pass, CA",11290 Donner Pass Rd,Truckee,CA,96161,USA,11,150,"39.327507, -120.207373",1967
"King City, CA",600 Canal St,King City,CA,93930,USA,16,250,"36.202218, -121.12983",95
"Vista, CA",401 Vista Village Dr,Vista,CA,92083,USA,20,250,"33.2008, -117.2455",98
"San Jose - Saratoga Ave, CA",1320 Saratoga Ave,San Jose,CA,95129,USA,12,250,"37.3006, -121.9812",62
"Soledad - Front St, CA",100 Front St,Soledad,CA,93960,USA,8,250,"36.429889, -121.334477",56
"Chula Vista - Telegraph Canyon Rd, CA",505 Telegraph Canyon Rd,Chula Vista,CA,91910,USA,12,250,"32.628946, -117.041103",65
"Rocklin (SC), CA",4361 Granite Dr,Rocklin,CA,95677,USA,18,150,"38.800537, -121.210485",98
"Inyokern, CA",1353 Brown Rd,Inyokern,CA,93527,USA,4,150,"35.646461, -117.812629",742
"San Mateo - Bridgepointe Pkwy, CA",2220 Bridgepointe Pkwy,San Mateo,CA,94404,USA,12,120,"37.558546, -122.284614",3
"Redondo Beach, CA",2410 Marine Ave,Redondo Beach,CA,90278,USA,8,150,"33.894294, -118.367379",21
"Cupertino, CA",19500 Vallco Parkway,Cupertino,CA,95014,USA,10,150,"37.324372, -122.009179",55
"Mojave - 16940 Hwy 14, CA",Anthony's Grill 16940 California 14 Hwy 14,Mojave,CA,93501,USA,12,250,"35.068595, -118.174576",866
"San Mateo, CA",1200 Park Pl,San Mateo,CA,94403,USA,8,150,"37.544632, -122.290188",3
"Mountain View, CA",1401 N Shoreline Blvd,Mountain View,CA,94043,USA,12,150,"37.415344, -122.076607",6
"Burbank - N Victory Blvd, CA",677 N Victory Blvd,Burbank,CA,91506,USA,24,250,"34.179384, -118.320974",175
"Newark, CA",3100 Newpark Mall,Newark,CA,94560,USA,16,72,"37.525905, -122.006624",9
"Santa Ana, CA",2800 N Main St,Santa Ana,CA,92705,USA,12,150,"33.776011, -117.872176",47
"Fountain Valley, CA",17900 Newhope St,Fountain Valley,CA,92708,USA,16,150,"33.70278, -117.934127",11
"San Rafael, CA",340 3rd St,San Rafael,CA,94901,USA,8,250,"37.971375, -122.517193",3
"Buttonwillow, CA",20673 Tracy Ave,Buttonwillow,CA,93206,USA,10,150,"35.400105, -119.397796",90
"Mammoth Lakes, CA",165 Old Mammoth Rd,Mammoth Lakes,CA,93546,USA,8,150,"37.644544, -118.965875",2390
"Ukiah, CA",310 S State St,Ukiah,CA,95482,USA,8,150,"39.1481, -123.208604",193
"Fresno, CA",6709 North Riverside Dr,Fresno,CA,93704,USA,10,150,"36.835455, -119.91058",91
"Temecula, CA",40820 Winchester Rd,Temecula,CA,92591,USA,10,150,"33.52421, -117.152568",324
"Red Bluff - S Main St, CA",725 S Main St,Red Bluff,CA,96080,USA,12,250,"40.163072, -122.228937",88
"Santa Barbara, CA",3943 State St,Santa Barbara,CA,93105,USA,16,250,"34.440227, -119.753359",61
"Folsom - Palladio Pkwy, CA",220 Palladio Pkwy,Folsom,CA,95630,USA,30,250,"38.647199, -121.118344",116
"Goleta, CA",7004 Market Pl Dr,Goleta,CA,93117,USA,12,250,"34.428885, -119.87338",11
"Marina Del Rey, CA",13534 Bali Way,Marina Del Rey,CA,90292,USA,8,250,"33.980394, -118.445237",4
"Bishop - Rocking West Dr, CA",1331 Rocking W Dr,Bishop,CA,93514,USA,24,250,"37.377287, -118.4226",1263
"Gustine, CA",12411 California Highway 33,Gustine,CA,95322,USA,12,150,"37.109305, -121.017565",47
"Bakersfield, CA",29541 Stockdale Hwy,Bakersfield,CA,93314,USA,10,150,"35.354643, -119.331607",93
"Twentynine Palms, CA",73829 Baseline Rd,Twentynine Palms,CA,92277,USA,8,150,"34.12046, -116.050953",631
"Groveland, CA",11875 Ponderosa Ln,Groveland,CA,95321,USA,7,150,"37.838679, -120.23199",865
"Fish Camp, CA",1122 California 41,Fish Camp,CA,93623,USA,8,150,"37.473828, -119.635893",1557
"Paso Robles - Golden Hill Rd, CA",2449 Golden Hill Rd,Paso Robles,CA,93446,USA,28,250,"35.645482, -120.660047",243
"San Jose - East Capitol Expressway, CA",3096 Tuers Rd,San Jose,CA,95121,USA,20,250,"37.300551, -121.825198",48
"Vacaville, CA",321 Nut Tree RD,Vacaville,CA,95687,USA,16,150,"38.366645, -121.958136",34
"Sacramento, CA",3668 North Freeway Blvd,Sacramento,CA,95834,USA,10,150,"38.637729, -121.49718",4
"Salinas, CA",1606 North Main St,Salinas,CA,93906,USA,14,150,"36.715699, -121.653992",29
"Monterey, CA",1100 Del Monte Center,Monterey,CA,93940,USA,14,250,"36.585729, -121.898765",67
"Baker, CA",71808 Baker Blvd,Baker,CA,97035,USA,40,150,"35.262495, -116.08079",283
"Westminster, CA",1025 Westminster Mall,Westminster,CA,92683,USA,24,72,"33.745288, -118.012279",8
"Concord, CA",2001 Diamond Blvd,Concord,CA,94520,USA,19,150,"37.970453, -122.058384",10
"Santa Clarita, CA",23975 Newhall Ranch Rd,Santa Clarita,CA,91355,USA,32,250,"34.431041, -118.554319",344
"Cottonwood, CA",20635 Gas Point Rd,Cottonwood,CA,96022,USA,12,250,"40.389145, -122.288208",135
"Fairfield - Travis Blvd, CA",1350 Travis Blvd,Fairfield,CA,94533,USA,12,150,"38.26175, -122.0524",10
"Riverside, CA",3878 Market St,Riverside,CA,92501,USA,24,72,"33.981393, -117.37577",258
"Fremont, CA",45500 Fremont Blvd,Fremont,CA,94538,USA,12,250,"37.492754, -121.944796",7
"Sunnyvale - W McKinley Ave, CA",298 W McKinley Ave,Sunnyvale,CA,94086,USA,10,120,"37.373421, -122.033114",10
"Truckee - Soaring Way, CA",10001 Soaring Way,Truckee,CA,96161,USA,16,250,"39.319501, -120.155831",1804
"Gilroy, CA",681 Leavesley Rd,Gilroy,CA,95020,USA,16,150,"37.02493, -121.56542",63
"Cabazon, CA",48400 Seminole Dr,Cabazon,CA,92230,USA,16,150,"33.93129, -116.820041",620
"Redding, CA",880 Sundial Bridge Dr,Redding,CA,96001,USA,8,250,"40.590042, -122.378506",149
"Kettleman City, CA",33360 Powers Dr,Kettleman City,CA,93239,USA,40,250,"35.987651, -119.962336",100
"Anaheim, CA",8148 E Santa Ana Canyon Rd,Anaheim,CA,92808,USA,20,72,"33.866724, -117.747373",135
"Yermo, CA",36017 Calico Rd,Yermo,CA,92398,USA,22,150,"34.907217, -116.835801",590
"Burbank - North Third St, CA","501 N 3rd St, Top Parking Level",Burbank,CA,91502,USA,20,150,"34.18487, -118.311672",190
"Harris Ranch, CA",24505 W Dorris Ave,Coalinga,CA,93210,USA,18,150,"36.25415, -120.237896",139
