Supercharger,Street Address,City of Industry,State,Zip,Country,Stalls,Kw,GPS,Elev,Latitude,Longitude
"Oxnard, CA",2751 Park View Ct,Oxnard,CA,93036,USA,20,150,"34.238654, -119.177398",24,34.238654,-119.177398
"Buellton, CA",555 McMurray Rd,Buellton,CA,93427,USA,10,150,"34.61456, -120.188387",114,34.61456,-120.188387
"Burbank - N Victory Blvd, CA",677 N Victory Blvd,Burbank,CA,91506,USA,24,250,"34.179384, -118.320974",175,34.179384,-118.320974
"Santa Barbara, CA",3943 State St,Santa Barbara,CA,93105,USA,16,250,"34.440227, -119.753359",61,34.440227,-119.753359
"Goleta, CA",7004 Market Pl Dr,Goleta,CA,93117,USA,12,250,"34.428885, -119.87338",11,34.428885,-119.87338
"Santa Clarita, CA",23975 Newhall Ranch Rd,Santa Clarita,CA,91355,USA,32,250,"34.431041, -118.554319",344,34.431041,-118.554319
"Burbank - North Third St, CA","501 N 3rd St, Top Parking Level",Burbank,CA,91502,USA,20,150,"34.18487, -118.311672",190,34.18487,-118.311672
"Thousand Oaks - East Thousand Oaks Blvd, CA",180 Promenade Way,Thousand Oaks,CA,91362,USA,24,150,"34.158291, -118.82363",289,34.158291,-118.82363
"Los Angeles - W Olympic Blvd, CA",11355 W Olympic Blvd,Los Angeles,CA,90064,USA,16,250,"34.03818, -118.443301",58,34.03818,-118.443301
"Pasadena, CA",155 E Green St,Pasadena,CA,91105,USA,24,72,"34.144835, -118.146609",258,34.144835,-118.146609
"Los Angeles - Francisco St, CA",899 South Francisco St,Los Angeles,CA,90015,USA,10,72,"34.047424, -118.264589",77,34.047424,-118.264589
"Ojai, CA",987 W Ojai Ave,Ojai,CA,93023,USA,12,72,"34.441994, -119.258898",236,34.441994,-119.258898
"Glendale, CA","877 Americana Way, Parking level 7",Glendale,CA,91210,USA,20,72,"34.145099, -118.256433",161,34.145099,-118.256433
"Santa Monica - Santa Monica Place, CA",395 Santa Monica Place,Santa Monica,CA,90401,USA,14,72,"34.013087, -118.493843",20,34.013087,-118.493843
"Thousand Oaks - West Hillcrest Drive, CA",350 West Hillcrest Dr,Thousand Oaks,CA,91360,USA,20,72,"34.18445, -118.890747",202,34.18445,-118.890747
"Simi Valley - Tierra Rejada Rd, CA",51 Tierra Rejada Rd,Simi Valley,CA,93065,USA,16,250,"34.272167, -118.797139",220,34.272167,-118.797139
"San Fernando - Celis St, CA",1011 Pico St,San Fernando,CA,91340,USA,12,250,"34.281483, -118.44167",323,34.281483,-118.44167
"Pasadena - E Glenarm St, CA",Cnr Glenarm St and Arroyo Pkwy,Pasadena,CA,91106,USA,20,250,"34.12699, -118.147727",230,34.12699,-118.147727
"Montecito, CA",1595 S Jameson Ln,Santa Barbara,CA,93108,USA,8,72,"34.421527, -119.631377",3,34.421527,-119.631377
"Glendale - Harvey Dr, CA",310 Harvey Dr,Glendale,CA,91206,USA,16,250,"34.148107, -118.227151",208,34.148107,-118.227151
"Granada Hills, CA",10823 Zelzah Ave,Granada Hills,CA,91344,USA,20,250,"34.266234, -118.526633",316,34.266234,-118.526633
"Culver City, CA",6000 Hannum Ave,Culver City,CA,90230,USA,16,150,"33.986779, -118.390213",13,33.986779,-118.390213
"West Hollywood, CA",8775 Sunset Blvd,West Hollywood,CA,90069,USA,8,250,"34.091635, -118.382241",109,34.091635,-118.382241
"Santa Maria, CA",371 Town Center E,Santa Maria,CA,93454,USA,20,250,"34.952928, -120.434555",67,34.952928,-120.434555
"Sherman Oaks - Ventura Blvd, CA",15301 Ventura Blvd,Sherman Oaks,CA,91403,USA,40,250,"34.156902, -118.467539",212,34.156902,-118.467539
"Pasadena - 3363 E Foothill Blvd, CA",3363 East Foothill Blvd,Pasadena,CA,91107,USA,20,250,"34.153571, -118.081718",224,34.153571,-118.081718
"Pacific Palisades, CA",1038 N Swarthmore Ave,Pacific Palisades,CA,90272,USA,8,250,"34.047878, -118.524987",100,34.047878,-118.524987
"Pasadena - Shoppers Ln, CA",410 Shoppers Ln,Pasadena,CA,91106,USA,12,250,"34.139, -118.1312",236,34.139,-118.1312
"Santa Barbara - Anacapa St, CA",621 Anacapa Street,Santa Barbara,CA,93101,USA,12,250,"34.418965, -119.697083",9,34.418965,-119.697083
"Los Angeles - Alameda St, CA",777 Alameda St,Los Angeles,CA,90021,USA,16,72,"34.033502, -118.240852",74,34.033502,-118.240852
"Culver City - 11924 Washington Blvd, CA",11924 Washington Blvd,Los Angeles,CA,90066,USA,8,250,"33.997487, -118.421155",17,33.997487,-118.421155
"Culver City - Washington Blvd, CA",8850 Washington Blvd,Culver City,CA,90232,USA,8,250,"34.027046, -118.388416",33,34.027046,-118.388416
"Calabasas - Commons Way, CA",4799 Commons Way,Calabasas,CA,91302,USA,20,250,"34.154607, -118.645367",292,34.154607,-118.645367
"Castaic, CA",29435 The Old Rd,Castaic,CA,91384,USA,12,250,"34.452312, -118.61614",315,34.452312,-118.61614
"Burbank - N San Fernando Blvd, CA",1009 N San Fernando Blvd,Burbank,CA,91504,USA,8,250,"34.187565, -118.318197",185,34.187565,-118.318197
"Newhall, CA",23502 Newhall Ave,Santa Clarita,CA,91321,USA,16,250,"34.3683, -118.5092",413,34.3683,-118.5092
"Pasadena - E Colorado Blvd, CA",3500 E Colorado Blvd,Pasadena,CA,91107,USA,16,250,"34.145015, -118.078417",207,34.145015,-118.078417
"Ventura, CA",4095 Telegraph Rd,Ventura,CA,93003,USA,12,250,"34.275162, -119.239734",57,34.275162,-119.239734
"Valencia, CA",27750 The Old Rd,Valencia,CA,91355,USA,8,250,"34.4237, -118.5845",328,34.4237,-118.5845
"Santa Monica - Cloverfield Blvd, CA",1819 Cloverfield Blvd,Santa Monica,CA,90404,USA,16,250,"34.025098, -118.469543",49,34.025098,-118.469543
"Northridge, CA",9022 Tampa Ave,Northridge,CA,91324,USA,24,250,"34.23471, -118.55287",252,34.23471,-118.55287
"Santa Monica, CA",1401 Santa Monica Blvd,Santa Monica,CA,90404,USA,62,250,"34.024585, -118.485771",41,34.024585,-118.485771
"Los Angeles - Venice Blvd, CA",8985 Venice Blvd,Los Angeles,CA,90034,USA,44,250,"34.027942, -118.393968",35,34.027942,-118.393968
"Alhambra, CA",2400 W Commonwealth Ave,Alhambra,CA,91803,USA,12,250,"34.087069, -118.151192",144,34.087069,-118.151192
