,Node,Latitude,Longitude
15237,15237,34.946918,-120.433487
15238,15238,34.941998,-120.428612
15239,15239,34.93919,-120.428589
15240,15240,34.933487,-119.508163
15241,15241,34.936329,-119.477669
15242,15242,34.94141,-119.463081
15243,15243,34.947056,-119.455467
15249,15249,34.950504,-119.698486
15250,15250,34.941086,-119.664291
15251,15251,34.940327,-119.65593
15252,15252,34.931713,-119.603142
15253,15253,34.932827,-119.580673
15254,15254,34.933018,-119.521202
15268,15268,34.919724,-120.429466
15269,15269,34.936024,-120.429298
15310,15310,34.907574,-120.428391
15327,15327,34.934769,-120.407013
15328,15328,34.900585,-120.409447
15333,15333,34.8927,-118.171066
15334,15334,34.913528,-118.153107
15337,15337,34.896896,-118.17012
15353,15353,34.921284,-119.510567
15354,15354,34.899879,-119.501343
15355,15355,34.884659,-119.493134
15362,15362,34.902554,-120.42794
15363,15363,34.877285,-120.428741
15367,15367,34.86343,-118.156677
15368,15368,34.863331,-118.165298
15369,15369,34.863308,-118.177223
15370,15370,34.877544,-118.179901
15371,15371,34.86972,-120.427368
15372,15372,34.863281,-120.432182
15445,15445,34.812656,-120.434288
15446,15446,34.942192,-118.927872
15447,15447,34.920017,-118.922394
15448,15448,34.916786,-118.923981
15449,15449,34.90237,-118.920891
15450,15450,34.897373,-118.917183
15451,15451,34.885677,-118.899422
15452,15452,34.870564,-118.879936
15453,15453,34.852646,-118.864014
15454,15454,34.846935,-118.861954
15455,15455,34.840298,-118.860977
15456,15456,34.832237,-118.863586
15457,15457,34.812305,-118.879257
15459,15459,34.947063,-119.416
15460,15460,34.94212,-119.409737
15461,15461,34.939392,-119.408279
15462,15462,34.932026,-119.409737
15463,15463,34.929981,-119.408852
15464,15464,34.927174,-119.411827
15465,15465,34.919136,-119.412163
15466,15466,34.916664,-119.409317
15467,15467,34.915859,-119.402901
15468,15468,34.914776,-119.399261
15469,15469,34.905575,-119.387337
15470,15470,34.900864,-119.367767
15471,15471,34.88937,-119.355507
15472,15472,34.881153,-119.353073
15473,15473,34.879467,-119.344131
15474,15474,34.873566,-119.340363
15475,15475,34.869694,-119.324982
15476,15476,34.867489,-119.319649
15477,15477,34.868286,-119.313293
15478,15478,34.870388,-119.310837
15479,15479,34.869946,-119.295837
15480,15480,34.874424,-119.288727
15481,15481,34.872578,-119.275627
15482,15482,34.869392,-119.259453
15483,15483,34.864986,-119.24823
15484,15484,34.86367,-119.230148
15485,15485,34.861454,-119.225098
15486,15486,34.858852,-119.201157
15487,15487,34.853127,-119.185753
15488,15488,34.851032,-119.173203
15489,15489,34.845623,-119.166397
15490,15490,34.851208,-119.161537
15491,15491,34.854149,-119.149117
15492,15492,34.861004,-119.135971
15493,15493,34.860439,-119.127617
15494,15494,34.852268,-119.106613
15495,15495,34.850628,-119.093521
15496,15496,34.842964,-119.084183
15497,15497,34.843109,-119.074203
15498,15498,34.839493,-119.05468
15499,15499,34.834503,-119.034859
15500,15500,34.822254,-119.008774
15501,15501,34.816818,-119.003647
15502,15502,34.820774,-118.983208
15503,15503,34.822243,-118.959938
15504,15504,34.821968,-118.946327
15505,15505,34.819786,-118.921043
15506,15506,34.81303,-118.893967
15520,15520,34.776604,-118.152977
15521,15521,34.776596,-118.17334
15522,15522,34.844505,-118.176468
15523,15523,34.814907,-118.176376
15524,15524,34.796314,-118.177727
15525,15525,34.773544,-118.800346
15526,15526,34.788544,-118.817177
15527,15527,34.797062,-118.833168
15528,15528,34.801971,-118.844368
15529,15529,34.808998,-118.868927
15530,15530,34.812603,-118.873993
15531,15531,34.773197,-118.782562
15532,15532,34.773743,-118.786369
15533,15533,34.773022,-118.790527
15534,15534,34.779484,-120.42157
15535,15535,34.772373,-120.421562
15550,15550,34.763111,-118.735687
15551,15551,34.764828,-118.749046
15552,15552,34.775429,-118.764229
15553,15553,34.763081,-118.722107
15554,15554,34.762936,-118.734306
15555,15555,34.776192,-118.209106
15556,15556,34.778515,-118.323647
15557,15557,34.779655,-118.429878
15558,15558,34.782192,-118.591316
15559,15559,34.782314,-118.62265
15560,15560,34.7817,-118.658127
15561,15561,34.78138,-118.666451
15562,15562,34.772694,-118.684036
15563,15563,34.764141,-118.709663
15564,15564,34.762909,-118.717117
15581,15581,34.756638,-118.792427
15582,15582,34.766399,-118.785744
15583,15583,34.768017,-118.783813
15584,15584,34.770672,-118.798851
15585,15585,34.7654,-118.797684
15591,15591,34.889149,-120.405167
15592,15592,34.863083,-120.383583
15593,15593,34.831882,-120.356232
15594,15594,34.821472,-120.341377
15595,15595,34.798641,-120.327721
15596,15596,34.793507,-120.321968
15597,15597,34.784267,-120.306068
15598,15598,34.754864,-120.270538
15599,15599,34.752365,-120.265671
15600,15600,34.759808,-120.375008
15601,15601,34.76046,-120.34037
15602,15602,34.754883,-120.315742
15603,15603,34.752487,-120.301514
15604,15604,34.749214,-120.294724
15605,15605,34.74984,-120.278938
15633,15633,34.738777,-118.147652
15634,15634,34.721348,-118.146606
15635,15635,34.719982,-118.146027
15728,15728,34.703869,-120.15937
15729,15729,34.708664,-120.150681
15730,15730,34.742672,-120.129204
15731,15731,34.75457,-120.121048
15732,15732,34.764252,-120.119179
15733,15733,34.773819,-120.122307
15734,15734,34.77409,-120.139793
15735,15735,34.784817,-120.171257
15736,15736,34.798622,-120.19841
15737,15737,34.817318,-120.222427
15738,15738,34.819134,-120.232491
15739,15739,34.822041,-120.235657
15740,15740,34.84724,-120.246887
15741,15741,34.852291,-120.255966
15742,15742,34.854221,-120.261597
15743,15743,34.85968,-120.263474
15744,15744,34.862473,-120.261909
15745,15745,34.874886,-120.242393
15746,15746,34.88258,-120.237411
15747,15747,34.894634,-120.232323
15748,15748,34.914509,-120.226677
15749,15749,34.926128,-120.220734
15750,15750,34.933872,-120.223244
15751,15751,34.94582,-120.23204
15752,15752,34.950439,-120.230553
15758,15758,34.742622,-120.245941
15759,15759,34.716888,-120.171501
15760,15760,34.709076,-120.162338
15761,15761,34.703175,-118.160431
15762,15762,34.703613,-118.157753
15763,15763,34.701641,-118.139267
15764,15764,34.709198,-118.144051
15765,15765,34.701588,-118.143127
15780,15780,34.699619,-118.171272
15781,15781,34.702892,-118.16217
15782,15782,34.706718,-118.173027
15784,15784,34.695957,-120.154373
15785,15785,34.687714,-120.153511
15786,15786,34.681316,-118.135063
15787,15787,34.694073,-118.135277
15788,15788,34.678307,-118.13501
15794,15794,34.72287,-120.427597
15795,15795,34.730171,-120.429283
15796,15796,34.736927,-120.434273
15797,15797,34.743156,-120.432861
15798,15798,34.761982,-120.423912
15799,15799,34.766418,-120.421043
15800,15800,34.662628,-120.341591
15801,15801,34.663269,-120.353996
15802,15802,34.661846,-120.40934
15803,15803,34.660835,-120.421768
15823,15823,34.683998,-120.136192
15824,15824,34.673115,-120.120827
15825,15825,34.670498,-120.105217
15826,15826,34.666988,-120.098167
15827,15827,34.64043,-120.076157
15828,15828,34.621784,-120.058884
15829,15829,34.616425,-120.052307
15830,15830,34.610828,-120.192467
15831,15831,34.616783,-120.192963
15832,15832,34.622353,-120.190407
15833,15833,34.626095,-120.1875
15834,15834,34.630501,-120.18573
15835,15835,34.664791,-120.171783
15836,15836,34.667618,-120.168831
15837,15837,34.673367,-120.158798
15838,15838,34.679253,-120.152367
15839,15839,34.621899,-120.209213
15840,15840,34.624992,-120.22345
15841,15841,34.625458,-120.232597
15842,15842,34.625961,-120.249519
15843,15843,34.626892,-120.258423
15844,15844,34.632282,-120.281601
15845,15845,34.658192,-120.319168
15846,15846,34.660385,-120.323143
15847,15847,34.662346,-120.336227
15848,15848,34.597645,-118.122864
15849,15849,34.608871,-120.178551
15850,15850,34.599087,-120.156036
15851,15851,34.596943,-120.149597
15852,15852,34.598518,-120.14135
15853,15853,34.609451,-120.105766
15854,15854,34.609337,-120.100777
15855,15855,34.612282,-120.082619
15856,15856,34.613827,-120.055542
15857,15857,34.597969,-118.127998
15858,15858,34.596081,-118.135757
15859,15859,34.594856,-118.138573
15860,15860,34.692059,-118.170067
15861,15861,34.681561,-118.162193
15862,15862,34.673782,-118.159317
15863,15863,34.656136,-118.156891
15864,15864,34.61647,-118.155022
15865,15865,34.630947,-120.432747
15866,15866,34.618168,-120.430023
15867,15867,34.613121,-120.42981
15868,15868,34.605801,-120.420097
15869,15869,34.599262,-120.415688
15870,15870,34.597088,-120.411171
15871,15871,34.592571,-120.408218
15872,15872,34.591885,-118.111481
15873,15873,34.59013,-120.018173
15874,15874,34.590576,-120.008499
15875,15875,34.589329,-120.002907
15876,15876,34.589283,-120.0
15877,15877,34.588589,-118.139473
15878,15878,34.756031,-118.716713
15879,15879,34.742332,-118.711182
15880,15880,34.747299,-118.697983
15881,15881,34.747646,-118.687721
15882,15882,34.744564,-118.6763
15883,15883,34.734367,-118.644234
15884,15884,34.732182,-118.634499
15885,15885,34.733418,-118.626213
15886,15886,34.735298,-118.622093
15887,15887,34.733242,-118.600151
15888,15888,34.726208,-118.592537
15889,15889,34.710442,-118.564827
15890,15890,34.705898,-118.537613
15891,15891,34.700516,-118.525322
15892,15892,34.682972,-118.466591
15893,15893,34.67823,-118.458214
15894,15894,34.674923,-118.444313
15895,15895,34.671207,-118.423752
15896,15896,34.67202,-118.410187
15897,15897,34.670773,-118.396057
15898,15898,34.661953,-118.381523
15899,15899,34.656475,-118.37867
15900,15900,34.649178,-118.373581
15901,15901,34.645096,-118.367706
15902,15902,34.630028,-118.332878
15903,15903,34.629448,-118.319862
15904,15904,34.607681,-118.259232
15905,15905,34.602032,-118.248367
15906,15906,34.59346,-118.229439
15907,15907,34.592815,-118.223068
15908,15908,34.593159,-118.207581
15909,15909,34.584827,-118.186172
15910,15910,34.583714,-118.181732
15911,15911,34.586746,-118.174583
15912,15912,34.587936,-118.167953
15913,15913,34.583523,-118.089111
15914,15914,34.582878,-118.100609
15915,15915,34.588997,-118.107033
15916,15916,34.578251,-118.102966
15917,15917,34.573029,-118.107338
16001,16001,34.871521,-119.509132
16002,16002,34.858501,-119.518471
16003,16003,34.841877,-119.536583
16004,16004,34.821636,-119.551521
16005,16005,34.809456,-119.565033
16006,16006,34.791561,-119.576988
16007,16007,34.774532,-119.579803
16008,16008,34.772408,-119.582787
16009,16009,34.774712,-119.594513
16010,16010,34.775822,-119.596489
16011,16011,34.773899,-119.624992
16012,16012,34.768867,-119.635933
16013,16013,34.765694,-119.633904
16014,16014,34.756985,-119.621696
16015,16015,34.742817,-119.618782
16016,16016,34.737301,-119.619164
16017,16017,34.725952,-119.624924
16018,16018,34.717766,-119.620789
16019,16019,34.703812,-119.61898
16020,16020,34.703289,-119.622009
16021,16021,34.704567,-119.627037
16022,16022,34.696182,-119.633713
16023,16023,34.696552,-119.638428
16024,16024,34.701283,-119.654373
16025,16025,34.692921,-119.659653
16026,16026,34.684845,-119.650261
16027,16027,34.6819,-119.648514
16028,16028,34.676609,-119.649178
16029,16029,34.674107,-119.671539
16030,16030,34.672012,-119.672859
16031,16031,34.650314,-119.679657
16032,16032,34.647266,-119.682877
16033,16033,34.645813,-119.686722
16034,16034,34.64983,-119.692383
16035,16035,34.649792,-119.694321
16036,16036,34.647614,-119.700073
16037,16037,34.63842,-119.712517
16038,16038,34.6339,-119.720413
16039,16039,34.613167,-119.724449
16040,16040,34.611984,-119.726357
16041,16041,34.610001,-119.733757
16042,16042,34.606003,-119.738617
16043,16043,34.598209,-119.738091
16044,16044,34.592812,-119.732674
16045,16045,34.586575,-119.72361
16046,16046,34.581978,-119.72374
16047,16047,34.569588,-119.735237
16048,16048,34.566868,-119.744843
16049,16049,34.560429,-119.756813
16050,16050,34.563713,-119.764664
16051,16051,34.564301,-119.769379
16052,16052,34.547287,-119.771317
16053,16053,34.547089,-119.780724
16054,16054,34.539318,-119.790421
16055,16055,34.541035,-119.796288
16056,16056,34.540226,-119.802071
16057,16057,34.541233,-119.808739
16058,16058,34.543304,-119.841164
16059,16059,34.540359,-119.850197
16060,16060,34.536377,-119.853943
16061,16061,34.589138,-119.99073
16062,16062,34.581619,-119.978287
16063,16063,34.57893,-119.965187
16064,16064,34.575413,-119.95816
16065,16065,34.577858,-119.951317
16066,16066,34.576462,-119.941872
16067,16067,34.57539,-119.938507
16068,16068,34.569359,-119.930832
16069,16069,34.566917,-119.916641
16070,16070,34.562725,-119.909027
16071,16071,34.554401,-119.901283
16072,16072,34.549721,-119.884521
16073,16073,34.543636,-119.879341
16074,16074,34.537556,-119.863373
16100,16100,34.583557,-118.088501
16101,16101,34.565952,-118.110497
16102,16102,34.561596,-118.109627
16103,16103,34.550388,-118.104248
16104,16104,34.544659,-118.102531
16105,16105,34.530663,-118.102409
16106,16106,34.524483,-118.10041
16107,16107,34.522884,-118.099007
16108,16108,34.515965,-118.109673
16109,16109,34.585384,-118.139427
16110,16110,34.57737,-118.136848
16111,16111,34.553543,-118.132423
16112,16112,34.540779,-118.120651
16113,16113,34.524536,-118.114098
16120,16120,34.514156,-120.432167
16121,16121,34.528996,-120.417557
16122,16122,34.527092,-120.40255
16123,16123,34.52903,-120.398758
16124,16124,34.52779,-120.393448
16125,16125,34.552963,-120.396118
16126,16126,34.563488,-120.405937
16127,16127,34.575008,-120.413048
16128,16128,34.579342,-120.414047
16129,16129,34.587673,-120.411346
16130,16130,34.534431,-119.848343
16131,16131,34.530247,-119.840179
16132,16132,34.527996,-119.838173
16133,16133,34.523663,-119.836922
16134,16134,34.521683,-119.83271
16135,16135,34.513233,-119.831047
16136,16136,34.511002,-119.827927
16137,16137,34.506577,-120.221153
16138,16138,34.518486,-120.215553
16139,16139,34.529282,-120.196327
16140,16140,34.540146,-120.192863
16141,16141,34.551098,-120.186081
16142,16142,34.566765,-120.183342
16143,16143,34.581314,-120.189148
16144,16144,34.592335,-120.188728
16145,16145,34.608082,-120.19236
16146,16146,34.515816,-120.240334
16147,16147,34.524437,-120.253662
16148,16148,34.518837,-120.257317
16149,16149,34.524704,-120.270538
16150,16150,34.527042,-120.278099
16151,16151,34.527523,-120.295807
16152,16152,34.519718,-120.304916
16153,16153,34.514919,-120.322433
16154,16154,34.515244,-120.32769
16155,16155,34.521084,-120.341743
16156,16156,34.537033,-120.355087
16157,16157,34.553661,-120.359901
16158,16158,34.561607,-120.363258
16159,16159,34.566517,-120.368713
16160,16160,34.571598,-120.376389
16161,16161,34.584438,-120.38575
16162,16162,34.586609,-120.399399
16163,16163,34.588737,-120.405853
16197,16197,34.501076,-120.22374
16198,16198,34.487129,-120.221832
16199,16199,34.484928,-120.218147
16200,16200,34.485477,-120.195236
16201,16201,34.483109,-120.169998
16202,16202,34.485859,-120.160423
16203,16203,34.487457,-120.131737
16204,16204,34.477676,-120.09877
16205,16205,34.476818,-120.07663
16206,16206,34.472515,-120.054367
16207,16207,34.474972,-120.037323
16208,16208,34.475471,-120.025452
16209,16209,34.474842,-120.012718
16210,16210,34.47258,-120.0
16249,16249,34.457161,-119.769249
16250,16250,34.469017,-119.772942
16251,16251,34.473293,-119.776947
16252,16252,34.479137,-119.771606
16253,16253,34.491169,-119.788857
16254,16254,34.487614,-119.794548
16255,16255,34.495541,-119.799507
16256,16256,34.495907,-119.80394
16257,16257,34.501602,-119.805794
16258,16258,34.503067,-119.812469
16259,16259,34.503201,-119.817169
16260,16260,34.456177,-119.768288
16261,16261,34.449677,-119.832443
16262,16262,34.449368,-119.826286
16263,16263,34.449162,-119.230637
16264,16264,34.449333,-119.231743
16265,16265,34.448872,-119.81646
16266,16266,34.448357,-119.806297
16267,16267,34.446362,-119.767014
16268,16268,34.447044,-119.759377
16269,16269,34.445724,-119.754547
16297,16297,34.512058,-119.821327
16298,16298,34.511055,-119.814667
16299,16299,34.514153,-119.80896
16300,16300,34.513947,-119.796791
16301,16301,34.517925,-119.793053
16302,16302,34.51767,-119.783363
16303,16303,34.509674,-119.77066
16304,16304,34.507706,-119.7659
16305,16305,34.504589,-119.738708
16306,16306,34.500454,-119.727798
16307,16307,34.493645,-119.712646
16308,16308,34.493675,-119.699669
16309,16309,34.49242,-119.69355
16310,16310,34.491306,-119.691856
16311,16311,34.485641,-119.688362
16312,16312,34.483894,-119.683884
16313,16313,34.472923,-119.681877
16314,16314,34.468716,-119.674294
16315,16315,34.465031,-119.675011
16316,16316,34.461761,-119.677948
16317,16317,34.460201,-119.687012
16318,16318,34.444965,-119.696129
16319,16319,34.444172,-118.604431
16320,16320,34.447609,-118.605042
16321,16321,34.462669,-118.612488
16322,16322,34.472507,-118.614601
16323,16323,34.481232,-118.61393
16324,16324,34.48753,-118.612358
16325,16325,34.550011,-118.658836
16326,16326,34.567009,-118.677406
16327,16327,34.583485,-118.700958
16328,16328,34.590519,-118.707458
16329,16329,34.605778,-118.717163
16330,16330,34.610771,-118.721413
16331,16331,34.617619,-118.724297
16332,16332,34.624577,-118.737442
16333,16333,34.640488,-118.749931
16334,16334,34.658524,-118.756943
16335,16335,34.664646,-118.762871
16336,16336,34.673664,-118.776062
16337,16337,34.685532,-118.781013
16338,16338,34.700199,-118.782143
16339,16339,34.710926,-118.786781
16340,16340,34.753078,-118.791229
16365,16365,34.443657,-119.696907
16366,16366,34.444843,-119.705803
16367,16367,34.471382,-119.993263
16368,16368,34.467762,-119.98069
16369,16369,34.454056,-119.94706
16370,16370,34.448769,-119.926712
16371,16371,34.44376,-119.903893
16372,16372,34.443264,-119.884537
